CoachName,CountryID,DisciplineID,CoachID
KELLER Florian,19,26,184
KERRY Danny,55,26,185
KIM Chanbin,111,16,186
KIM Hagbum,111,16,187
KIRALY Karch,11,36,188
KIRKELY Ulrik,24,5,189
KIRKPATRICK Andrew,10,10,190
KITABAYASHI Kenji,24,5,191
KLARENBEEK Auke,9,5,192
KNEZEVIC Nemanja,22,31,193
KOFFI Anthony,69,16,194
KONSTANTINOV Aleksei,32,36,195
KONTIC Svetlana,85,12,196
KRIKORIAN Adam,11,31,197
KRIST JANSSON Aron,23,5,198
KRUMBHOLZ Olivier,4,5,199
KULESZA Katarzyna,26,12,200
KUNTZ Stefan,19,16,201
KUZIN Andrey,32,35,202
KWIEK Marcos,99,36,203
LAIDLAW Clark,112,35,204
LAMAS Julio,24,4,205
LANG Ping,71,36,206
LAVARINI Stefano,111,36,207
LAZARO CORRAL Jesus,2,4,208
LETELIER Jose,5,16,209
LOCK Adrian Mayner,2,26,210
LOFTUS Adriana,46,12,211
LOPES BARBOSA Leonard,63,36,212
LOPEZ GUILLEN Melvyn,99,4,213
LOPEZ Monica Susana,84,12,214
LOUCKS Luke,44,4,215
LOZANO Jaime,46,16,216
MACEK Anze,132,4,217
MACKINTOSH Euan Michael Gordon,71,35,218
MAEDA Kenzo,24,4,219
MAHLANGU Sibusiso,36,16,220
MAKIRI Hare,24,35,221
MALJKOVIC Marina,85,4,222
MANENTI John,10,35,223
MANZANILLO Andres,103,36,224
MARCZ Tamas,56,31,225
MARIJNE Sjoerd,42,26,226
MARINELLI Fernando,5,16,227
MARTIN LOZANO David,2,31,228
MARTIN Paul,36,31,229
MASHA Mario,36,16,230
MATSUNO Yoshiyuki,24,4,231
MATSUODANI Yasushi,24,16,232
MAYBURY Elena,11,16,233
MAYONNADE Emmanuel,9,5,234
MAZZANTI Davide,3,36,235
McCRORIE Christy,36,26,236
McLEOD Shane,14,26,237
MEDINA Bobby,44,4,238
MENDEZ Marcelo Rodolfo,84,36,239
MENGUAL CIVIL Gemma,2,12,240
MENTOOR Delaine,36,31,241
MERCEDES del ROSARIO Jose,99,4,242
MESTDAGH Philip,14,4,243
MEZHENINA Valeriia,86,12,244
MEZIANE Rachid,4,4,245
MIHAILOVIC Predrag,10,31,246
MIREJOVSKY Michal,119,4,247
MIRET GARCIA Daniel,2,4,248
MIURA Keiko,24,26,249
MIYAKAWA Miya,24,12,250
MLADENOVA Albena,30,12,251
MOHAMED Mai,13,12,252
